"Agency/Department","Contract Number","Contract Value","Supplier","Procurement Type","Description","Type of Solicitation","Effective From","Effective To"
"Public Utilities","24000000095","$1,406,775.00","American Contracting & Environmental Servic","Invitation to Bid","IFB#230010320-Huguenot PS VFD, Generator & DPC Replacement - Performance period is 780 calendar days.","Construction - Capital/Non-Capital","2023 Aug 24 12:00:00 AM","2025 Dec 31 12:00:00 AM"
"Public Works","24000001705","$17,408,759.94","WHITING-TURNER CONTRACTING CO","Request for Proposal","T.B. Smith Community Center Construction Manger at Risk (CMAR)","Construction - Capital/Non-Capital","2023 Sep 13 12:00:00 AM","2025 Dec 31 12:00:00 AM"
"Public Works","24000001706","$18,919,089.83","WHITING-TURNER CONTRACTING CO","Request for Proposal","Luck""s Field Community Center Construction Manger at Risk (CMAR)","Construction - Capital/Non-Capital","2023 Sep 13 12:00:00 AM","2025 Dec 31 12:00:00 AM"
"Public Works","24000007405","$13,990,050.39","HOWARD SHOCKEY & SONS INC","Request for Proposal","CMAR Police Precinct #1","Construction - Capital/Non-Capital","2024 Feb 15 12:00:00 AM","2025 Dec 31 12:00:00 AM"
"Emergency Communication","25000006588","$146,873.32","HONEYWELL INTERNATIONAL INC","Agency Request","NAME CHANGE Contract #18000001168: Hardware & Software repair services for USDD fire station alerting system/ Req. 170020447 (original contract Amount Agreed=$1,011,458.42, amount released=$864,585.10; remaining balance=$146,873.32)","Non Professional Services, Non Technology","2025 Jan 01 12:00:00 AM","2025 Dec 31 12:00:00 AM"
"Public Utilities","25000006600","$71,697.62","IFS Ultimo Americas Inc","Agency Request","Formerly Agr Sole Source - Req 210006037/ See Note to File- Supplies - Technology / Department of Public Utilities / JB Systems dba Mainsaver Software) DPU Wastewater & Water Treatment Plants","Non Professional Services, Technology","2021 Mar 30 12:00:00 AM","2025 Dec 31 12:00:00 AM"
"Public Utilities","25000007487","$234,000.00","HNTB Corporation","Agency Request","Emergency Order","Non Professional Services, Technology","2025 Jan 21 12:00:00 AM","2025 Dec 31 12:00:00 AM"
"Parks, Recreation and Community Facilities","25000013044","$488,000.00","Bofam Contractors Group, LLC","Invitation to Bid","Requisition 250010338/Midtown Green Renovation/Terms 125-Days","Construction - Term","2025 Jun 24 12:00:00 AM","2025 Dec 31 12:00:00 AM"
"Public Works","26000002983","$1,999,587.00","ATLANTIC EMERGENCY SOLUTIONS INC","Cooperative Agreement","Requisition 260002802 - Cooperative Procurement - DPW - 6 Rear Load Body Refuse Trucks - Sourcewell Contract 110223","Equipment - Non Technology","2025 Aug 20 12:00:00 AM","2025 Dec 31 12:00:00 AM"
"Human Resources","24000005522","$5,000,000.00","CIGNA HEALTHCARE","Request for Proposal","Dental Health Insurance RFP 230003126","Non Professional Services, Non Technology","2024 Jan 01 12:00:00 AM","2026 Jan 01 12:00:00 AM"
"Public Utilities","24000006676","$15,258,262.36","Southeast Connections, LLC","Invitation to Bid","IFB / Construction - Term / Department of Public Utilities / Gas Mains Renewal and retirement of gas mains, services, and facilities Initial Term Two (2) years with Four (4) - Two (2) year renewals. IFB240000437","Construction - Term","2024 Jan 02 12:00:00 AM","2026 Jan 01 12:00:00 AM"
"Public Works","26000003662","$783,229.81","Richardson-Wayland-Ferreira, LLC","Invitation to Bid","IFB 250014429 / DPW / Speed Feedback Signs / 90 performance time","Construction - Capital/Non-Capital","2025 Sep 05 12:00:00 AM","2026 Jan 01 12:00:00 AM"
"Public Works","23000003547","$200,000.00","Mansfield Oil Company of Gainesville","Cooperative Agreement","State Contract #E194-73737 - Requisition #230004111 / Commodity / Department of Public Utilities / Bulk Diesel Fuel Delivery to Various Department of Public Utility Sites / Initial term 12/06/15 through 1/05/2019 with Seven (7) - One (1)","Commodity","2015 Nov 06 12:00:00 AM","2026 Jan 05 12:00:00 AM"
"Public Utilities","23000006519","$4,470,000.00","Brenntag Mid South","Invitation to Bid","IFB 230003021/Purchase and Delivery of Ferric Chloride (FeC13). One initial term with two one-year renewal options.","Non Professional Services, Non Technology","2023 Jan 06 12:00:00 AM","2026 Jan 05 12:00:00 AM"
"Finance","25000007045","$200,000.00","VIRGINIA INTERACTIVE LLC","Cooperative Agreement","payment processing support for the following three separate tax types services: Admissions, transient occupancy,Lodging and Meals Tax (ALM), and Business Personal Property (BPP) payments, and Business Professional & Occupational Licenses","Non Professional Services, Non Technology","2025 Jan 06 12:00:00 AM","2026 Jan 05 12:00:00 AM"
"Public Utilities","25000007610","$1,023,659.00","Patuxent Roofing and Contracting, LLC","Invitation to Bid","IFB250006080 to Repair OFFICE Roof for Shockoe Retention Basin","Construction - Capital/Non-Capital","2025 Mar 11 12:00:00 AM","2026 Jan 06 12:00:00 AM"
"Public Utilities","26000000359","$322,319.00","72 Hour LLC","Cooperative Agreement","Requisition 250013003 - Coop Purchase - 72 Hour LLC","Equipment - Non Technology","2025 Jul 10 12:00:00 AM","2026 Jan 09 12:00:00 AM"
"Public Utilities","24000005968","$24,000,000.00","Mastec North America Inc","Invitation to Bid","IFB / Construction - Term / Department of Public Utilities / Water Leak Repairs and Mains, and Meter Services / Initial Two (2) year with Four (4) - One (1) year renewals IFB240002967","Construction - Term","2024 Jan 15 12:00:00 AM","2026 Jan 14 12:00:00 AM"
"Public Utilities","21000000472","$6,135,045.73","WACO INC","Invitation to Bid","IFB - Repulsion #:L200004903 / Construction / Department of Public Works / Modern Green High Efficiency HVAC System / 730 consecutive calendar days /","Construction - Capital/Non-Capital","2020 Jul 20 12:00:00 AM","2026 Jan 15 12:00:00 AM"
"Public Works","26000003093","$89,127.50","Lumin8 Technologies Services LLC","Request for Quotation","Traffic Engineering - Lumin8 - Fire Station #5 Fiber Optic Connection","Non Professional Services, Non Technology","2025 Aug 22 12:00:00 AM","2026 Jan 16 12:00:00 AM"
"Public Works","20000001103","$8,140,000.00","CGL Facility Management, LLC","Request for Proposal","RFP T148389/Services Non- Professional & Non-Technical / Department of Public Works / Detention Center Maintenance Services / Initial term of One (1) year with Four (4) - One (1) year renewals and extension. 6-month emergency extension.","Non Professional Services, Non Technology","2020 Jul 19 12:00:00 AM","2026 Jan 18 12:00:00 AM"
"Public Utilities","22000006510","$9,100,000.00","AECOM Technical Services","Request for Proposal","RFP/Professional Services/ Department of Public Utilities / Wastewater Utility Engineering Services / Initial Term of One (1) year with Four (4) - One (1) year renewals and extension. Renewal 1. Renewal 2 - Jan 19, 2024 - Jan 18, 2025.","Professional Services","2022 Jan 19 12:00:00 AM","2026 Jan 18 12:00:00 AM"
"Public Utilities","22000006519","$15,486,815.53","WHITMAN REQUARDT AND ASSOC","Request for Proposal","RFP / Professional Services / Department of Public Utilities / Stormwater Utiliity Engineering Services / Initial Term of One (1) year with Four (4) - One (1) year renewals and extension. Renewal 1 2","Professional Services","2022 Jan 19 12:00:00 AM","2026 Jan 18 12:00:00 AM"
"Public Utilities","22000006521","$10,987,668.00","GFT Infrastructure","Request for Proposal","RFP/Professional Services /Department of Public Utilities / Water Utility Engineering Services / Initial Term of One (1) year with Four (4) - One (1) year renewals and extension. Renewal 1. Renewal 2 - Jan 19, 2024 - Jan 18, 2025.","Professional Services","2022 Jan 19 12:00:00 AM","2026 Jan 18 12:00:00 AM"
"Public Utilities","22000006522","$8,451,227.00","ARCADIS U S INC","Request for Proposal","RFP / Professional Services / Department of Public Utilities / Stormwater Utility Engineering Services / Initial Term of One (1) year with Four (4) - One (1) year renewals and extension. Renewal 1. Renewal 2 - Jan 19, 2024 - Jan 18, 2025.","Professional Services","2022 Jan 19 12:00:00 AM","2026 Jan 18 12:00:00 AM"
"Public Utilities","22000006545","$8,000,000.00","A Morton Thomas and Associates Inc","Request for Proposal","RFP / Professional Services / Department of Public Utilities / Stormwater Utility Engineering Services / Initial Term of One (1) year with Four (4) - One (1) year renewals and extension. Renewal 3.","Professional Services","2022 Jan 19 12:00:00 AM","2026 Jan 18 12:00:00 AM"
"Public Utilities","22000006559","$10,806,638.69","Hazen and Sawyer D.P.C.","Request for Proposal","RFP / Professional Services / Department of Public Utilities / Stormwater Utility Engineering Services / Initial Term of One (1) year with Four (4) - One (1) year renewals and extension. Renewal 1 2","Professional Services","2022 Jan 19 12:00:00 AM","2026 Jan 18 12:00:00 AM"
"Public Utilities","22000006591","$10,400,000.00","RUMMEL KLEPPER AND KAHL LLP","Request for Proposal","RFP/ Professional Services / Department of Public Utilities / Stormwater Utility Engineering Services / Initial Term of One (1) year with Four (4) - One (1) year renewals and extension. Renewal 3","Professional Services","2022 Jan 19 12:00:00 AM","2026 Jan 18 12:00:00 AM"
"Public Utilities","22000006592","$9,000,000.00","Brown and Caldwell","Request for Proposal","RFP/Professional Services / Department of Public Utilities / Stormwater Utility Engineering Services / Initial Term of One (1) year with Four (4) - One (1) year renewals and extension. Renewal 3.","Professional Services","2022 Jan 19 12:00:00 AM","2026 Jan 18 12:00:00 AM"
"Public Utilities","22000006593","$9,600,000.00","Hazen and Sawyer D.P.C.","Request for Proposal","RFP / Professional Services / Department of Public Utilities / Wastewater Utility Engineering Services / Initial Term of One (1) year with Four (4) - One (1) year renewals and extension. Renewal 1 2; Renewal 3 3/12/2025","Professional Services","2022 Jan 19 12:00:00 AM","2026 Jan 18 12:00:00 AM"
"Public Utilities","22000006667","$12,600,000.00","Brown and Caldwell","Request for Proposal","RFP/Professional Services / Department of Public Utilities / Wastewater Utility Engineering Services / Initial Term of One (1) year with Four (4) - One (1) year renewals and extension. Renewal 3.","Professional Services","2022 Jan 19 12:00:00 AM","2026 Jan 18 12:00:00 AM"
"Public Utilities","22000006668","$8,000,000.00","RUMMEL KLEPPER AND KAHL LLP","Request for Proposal","Department of Public Utilities / Stormwater Utility Engineering Services / Initial Term of One (1) year with Four (4) - One (1) year renewals and extension. Renewal 1 2","Professional Services","2022 Jan 19 12:00:00 AM","2026 Jan 18 12:00:00 AM"
"Public Utilities","22000006669","$9,513,757.30","RUMMEL KLEPPER AND KAHL LLP","Request for Proposal","RFP/ Professional Services / Department of Public Utilities / Stormwater Utility Engineering Services / Initial Term of One (1) year with Four (4) - One (1) year renewals and extension. Renewal 1","Professional Services","2022 Jan 19 12:00:00 AM","2026 Jan 18 12:00:00 AM"
"Public Utilities","22000006670","$16,300,000.00","GREELEY AND HANSEN LLC","Request for Proposal","RFP/ Professional Services / Department of Public Utilities / Water Utility Engineering Services / Initial Term of One (1) year with Four (4) - One (1) year renewals and extension. Renewal 3 - Jan 19, 2025 - Jan 18, 2026.","Professional Services","2022 Jan 19 12:00:00 AM","2026 Jan 18 12:00:00 AM"
"Public Utilities","22000006671","$17,317,076.65","GREELEY AND HANSEN LLC","Request for Proposal","RFP/Professional Services/ Department of Public Utilities / Stormwater Utility Engineering Services / Initial Term of One (1) year with Four (4) - One (1) year renewals and extension. Renewal 1. Renewal 2 - Jan 19, 2024 - Jan 18, 2025","Professional Services","2022 Jan 19 12:00:00 AM","2026 Jan 18 12:00:00 AM"
"Public Utilities","22000006672","$14,600,000.00","GREELEY AND HANSEN LLC","Request for Proposal","RFP/Professional Services/ Department of Public Utilities / Waste Water Utility Engineering Services / Initial Term of One (1) year with Four (4) - One (1) year renewals and extension. Renewal 1. Renewal 2 - Jan 19, 2024 - Jan 18, 2025.","Professional Services","2022 Jan 19 12:00:00 AM","2026 Jan 18 12:00:00 AM"
"Public Utilities","22000007189","$1,040,000.00","McCarter & English","Exempt Purchase","Demand / Professional Services / Department of Public Utilities / DPU Legal Services - Federal Energy Regulatory Commission. Ref. Engagement Letter, Amendment dtd. June 22, 2021. / No additional terms","Professional Services","2022 Jan 19 12:00:00 AM","2026 Jan 18 12:00:00 AM"
"Public Utilities","23000008264","$9,260,703.94","JACOBS ENGINEERING GROUP INC","Request for Proposal","RFP / Professional Serivces / Department of Publlic Utilities / Wastewater Utility Engineering Services / Initial Term of One (1) year with Four (4) - One (1) year renewals and extension. Renewal 3.","Professional Services","2023 Feb 16 12:00:00 AM","2026 Jan 18 12:00:00 AM"
"Economic Development","21000008159","$600,000.00","DRAPER ADEN ASSOC","Request for Proposal","Request for Proposal#210000803 Community-Wide Brownfields Coalition Assessment Grant","Non Professional Services, Non Technology","2021 Jan 25 12:00:00 AM","2026 Jan 24 12:00:00 AM"
"Public Works","21000007912","$2,590,000.00","GILMORE PLANT AND BULB CO INC","Invitation to Bid","IFB#210005221; Tree and Tree Planting; Two (2) Year Initial Term; with Four (4) renewal options","Non Professional Services, Non Technology","2021 Jan 26 12:00:00 AM","2026 Jan 25 12:00:00 AM"
"Public Works","25000005406","$591,516.95","B & B SIGNAL CO LLC","Invitation to Bid","IFB# 250003405 / Patterson Avenue Traffic Signal project / DPW / 240 Days from NTP (January 27, 2025).","Construction - Capital/Non-Capital","2024 Nov 14 12:00:00 AM","2026 Jan 26 12:00:00 AM"
"Public Works","16000013808","$4,003,000.00","W & H Resources Inc","Invitation to Bid","IFB Requisition #T160010619 / Services - Non-Professional and Non-Technology / Department of Public Works / Elevator Repairs / Initial Term of three (3) years with seven (7) - one (1) year renewals and a one (1) year extension.","Non Professional Services, Non Technology","2016 Jan 29 12:00:00 AM","2026 Jan 28 12:00:00 AM"
"Public Utilities","16000014542","$3,090,348.70","Hitachi Energy USA Inc","Agency Request","Sole Source / Serices - Technology / Department of Public Utilities / Advantex Software Upgrade, Maintenance and Support, and Upgrade Implementation Services / Initial Term of One (1) year with Six (6) - One (1) year renrewals.","Non Professional Services, Technology","2016 Jan 29 12:00:00 AM","2026 Jan 28 12:00:00 AM"
"Information Technology","21000001450","$1,688,245.10","INSIGHT PUBLIC SECTOR INC","Cooperative Agreement","Fairfax Amendment 7 Contract Expiration Date 10/31/2023; Property Schedule 01 Lease agreement 3200991. Fairfax contract 4400006644 Requisition 260006662","Non Professional Services, Non Technology","2020 Oct 02 12:00:00 AM","2026 Jan 31 12:00:00 AM"
"Public Utilities","25000004637","$7,681,650.50","Contaminant Control Inc","Invitation to Bid","IFB240014058 Fulton Gas Works Demo and Remediation","Construction - Capital/Non-Capital","2025 Jan 06 12:00:00 AM","2026 Jan 31 12:00:00 AM"
"Public Utilities","20000006131","$2,800,000.00","HEYWARD INCORP","Agency Request","Sole Source / Supplies - Non Technology / Department of Public Utilities / Parts and supplies for Trojan UV System / Initial Term of Two (2) years with Two (2) - Two (2) year renewals.","Supplies, Non Technology","2020 Feb 04 12:00:00 AM","2026 Feb 03 12:00:00 AM"
